441.666666667	226	441.666666667	288	door	1	1	
529.166666667	220	529.166666667	278	door	1	1	
442.333333333	306	442.333333333	374	door	1	1	
403.5	736	403.5	909	door	1	1	
144	300.333333333	264	300.333333333	door	1	1	
180	84.3888888889	328	84.3888888889	door	1	1	
535	392	592	392	door	1	1	
609	84.1111111111	654	84.1111111111	door	1	1	
226	650	380	650	door	1	1	
404	998.333333333	582	998.333333333	door	1	1	
229	998.333333333	391	998.333333333	door	1	1	
596	228	643	284	washing_basin	1	1	
146	392	197	554	cooking_counter	1	1	
603	321	648	382	washing_basin	1	1	
573	95	645	206	entrance	1	1	
264	182	314	202	bedroom	1	1	
461.5	94.5	511.5	114.5	closet	1	1	
369.1866666665	503.4833333335	419.1866666665	523.4833333335	kitchen	1	1	
504.462962963	204.58024691358	554.462962963	224.58024691358	corridor	1	1	
568	294	618	314	washing_room	1	1	
174.5	334	224.5	354	closet	1	1	
327.5	334	377.5	354	closet	1	1	
568.5	435.5	618.5	455.5	washing_room	1	1	
568.5	521	618.5	541	closet	1	1	
546	596.5	596	616.5	closet	1	1	
245	814	295	834	bedroom	1	1	
505.5	814	555.5	834	bedroom	1	1	
373.5	1032.5	423.5	1052.5	balcony	1	1	
532.5	84.1111111111	532.5	125	wall	1	1	
441.666666667	125	532.5	125	wall	1	1	
659	998.333333333	659	1087	wall	1	1	
138.333333333	1087	659	1087	wall	1	1	
443	300.333333333	443	388.666666667	wall	1	1	
262.5	388.666666667	443	388.666666667	wall	1	1	
138.333333333	998.333333333	138.333333333	1087	wall	1	1	
484.5	563.666666667	484.5	650	wall	1	1	
484.5	563.666666667	529.333333333	563.666666667	wall	1	1	
529	216	529	392	wall	1	1	
529	216	657.75	216	wall	1	1	
137.933333333	84.6666666667	137.933333333	300.333333333	wall	1	1	
137.933333333	84.6666666667	441.666666667	84.6666666667	wall	1	1	
532.5	84.1111111111	657.75	84.1111111111	wall	1	1	
657.75	84.1111111111	657.75	216	wall	1	1	
441.666666667	84.1111111111	532.5	84.1111111111	wall	1	1	
441.666666667	84.1111111111	441.666666667	125	wall	1	1	
403.5	650	484.5	650	wall	1	1	
403.5	650	403.5	998.333333333	wall	1	1	
137.933333333	650	403.5	650	wall	1	1	
262.5	300.333333333	441.666666667	300.333333333	wall	1	1	
262.5	300.333333333	262.5	388.666666667	wall	1	1	
137.933333333	300.333333333	262.5	300.333333333	wall	1	1	
657.75	216	657.75	392	wall	1	1	
658.5	563.666666667	658.5	650	wall	1	1	
658.5	650	658.5	998.333333333	wall	1	1	
484.5	650	658.5	650	wall	1	1	
441.666666667	125	441.666666667	300.333333333	wall	1	1	
658.5	499.5	658.5	563.666666667	wall	1	1	
529.333333333	563.666666667	658.5	563.666666667	wall	1	1	
403.5	998.333333333	658.5	998.333333333	wall	1	1	
658.5	392	658.5	499.5	wall	1	1	
529.333333333	392	658.5	392	wall	1	1	
529.333333333	499.5	658.5	499.5	wall	1	1	
137.933333333	998.333333333	403.5	998.333333333	wall	1	1	
529.333333333	499.5	529.333333333	563.666666667	wall	1	1	
137.933333333	388.666666667	262.5	388.666666667	wall	1	1	
137.933333333	300.333333333	137.933333333	388.666666667	wall	1	1	
137.933333333	388.666666667	137.933333333	650	wall	1	1	
529.333333333	392	529.333333333	499.5	wall	1	1	
137.933333333	650	137.933333333	998.333333333	wall	1	1	
